id,data_id,text,rating
91204,42,"This is a taste an odor filter. The GE does taste and odor PLUS cysts, lead, mercury, benzene, and many many other organic and inorganic compounds up to 99.9% removal. They are not equivalent! They say it is &#34;equivalent quality&#34;, so you be the judge. Maybe they are talking manufacturing quality, but it is VERY misleading.",1
149604,42,"This pitcher is a good size for home use. We typically only need 2 servings, and fill the pitcher about half full to allow room for frothing. spout pours nicely. It has been washed in the dishwasher (top rack) without issue so far.",5
449032,42,"The adapters keep falling off, I may have to glue them",2
340902,42,Only complaint is where the plug sits on this piece.  Difficult for my fridge plug to sit on it and in the main outlet.  Seems heavy that the entire protector pops off the main outlet.  Wish it had a screw like other surges to ensure it doesn't fall off.,3
257157,42,"This portable washer is so convenient if you live in a small apartment with no laundry on site. I definitely recommend it. The only recommendation I have is do not use too much soap because then you will have to use a lot of water to get all the soap out. Other than that it does a great job in spinning the clothes dry, I also bought The drying rack to help finish the drying process. It doesn’t make too much noise and it’s super lightweight. I haven’t stopped using it since it arrived. Also, make sure you drain the water properly after using.",5
435929,42,"Works fine, better flow than the bargain brand filters.  Im glad this filter IS rated to the NSF/ANSI Standard 53 to remove lead - the other cheaper filters are only rated to NSF/ANSI Standard 42 which does NOT remove lead.",4
117614,42,"Love the product,  it was as described  would  buy again in the future.",5
604785,42,"Wow, these burners heat up fast and make my stove look like new.  I replaced the elements and drip pans and my old oven got reborn.  Before I got these, 3 of the 4 burners didn't work, or worked for a minute or two, then when I went to check on my meal, they had stopped working.  I thought about getting a brand new range, but went this route instead and I'm glad I did.",5
477214,42,I had to reroute it and add material from the old unit to make this work it was over 12 inch too short I would have returned it but I don't have time to mess around with more than one piece of junk that might not work so I modified it so that it would,2
172459,42,Perfect to keep our hatch green chili frozen,5
47403,42,"Not accurate! It's too sensitive. If you have extra 2 hours to play with all the eggs to make sure the sensors actually register each egg, go for it. Cute device but useless.",2
245,42,It very good except when using it ductless putting the charcoal filter is hard to put on. Install was fairly easy. Construction seems to be real good. The light could be a little brighter instead of two 3 watt bulbs 5 or 6 watt would be nicer.,5
424423,42,Just about the package. It was poorly done.,4
587385,42,"I have used it several times since I bought it a week ago. A really nice small machine, easy and convenient to use. Not heavy load certainly. Actually it can afford more than I thought. If I have to say some disadvantage, that is, it is annoying if you just stay 5 meters from it watching TV. However, you can just leave it in the corner of the kitchen, and stay in you bedroom, maybe with the door closed. Then it's not so annoyingly loud.",5
99475,42,Seems to be correct part and works as it should,5
494840,42,Misleading. These do not fit my Hotpoint range.,2
9547,42,Used to replace the broken handle on our Kenmore range....fit perfectly.,5
247571,42,"So far so good! Water does taste different from the original GE filter and I actually prefer it. The lower cost, better taste, and easily replaceable design make it a good buy.",5
579577,42,Its the perfect size for the dish washer,5
345878,42,This is my second purchase. The first filter ran black water for a long bit as I installed. This one didn't but my water flow is still slow and labels are different on filters.  I want and need consistency  A big fail.  I went and purchased the new updated name brand (drop 4) and it is amazing.  Will not be purchasing this brand again. It's worth it to pay a bit more and actually get a product that works,1
651972,42,This was easy to attach and is perfect for the 5 gallon BIB DrPepper syrup.,5
121245,42,"I used these brackets to secure an older (Frigidaire) dishwasher to my kitchen cabinets after installing granite countertops. The Frigidaire dishwasher was an older model and as such was not fitted or designed in any way to be used with side mounting. The dishwasher had brackets welded to the top of an aluminum band which held the plastic dishwasher body to the metal dishwasher door frame. But I couldn't use these brackets since you cannot screw into granite without possible damaging it.  However, even the aluminum band went around the dishwasher exterior.  There was absolutely no where to ""hook"" a bracket (you also could not screw into the aluminum band because you might puncture the plastic dishwasher body which would cause leaks and trash your dishwasher). So I purchased these brackets and J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz. I mixed the epoxy and put a healthy amount on that aluminum band which I described above. I then stuck these brackets in that epoxy and used blue painter's tape to hold the brackets in place. I let the epoxy fully cure (15-24 hours) and then I tested. SOLID HOLD. Just like a a steel weld. I pushed the dishwasher back in the cabinet and used 1/2 inch wood screws to secure to base cabinet frame. The other side was next to a sheetrocked wall so I used 4 inch screws and found a stud close-by and screwed the bracket directly into a stud.  Mounting now is solid as a rock. Dishwasher does not move at all. Hope this helps. Good luck!",5
176513,42,Easy way to wash a light load.  Also flexible to wash heavier things.  I like it!,5
340910,42,took out old one put in new one. Boom done. now how long will it last is the question.,4
512871,42,worked well - no problems - easy transaction,5
315747,42,"para mi son exelentes , por que te dejan siempre limpios los quemadores",5
332066,42,Work as good as manufacturer product at fraction of the cost,5
568534,42,"[[VIDEOID:fc846b63e802a54a7784eb59c7a02320]] This is not the original part. After less than 3 months of use, some white particles started appear in the water (see video).<br />After replacing the filter with the original part, particles gone. Don’t buy",1
416379,42,These work perfectly for the 4oz glass spray bottles I bought them for. They shrunk perfectly with my hairdryer (used very close up) so I’m glad I didn’t have to dig out my heat gun!,5
18520,42,"We bought a Keurig coffee maker in February 2021 and wanted to be able to use our own coffee and save on single used plastic. When we bought these, there were not a lot of choice so we opted for this pack. We only needed the k-cups but use the larger mesh filter for other things. The same company now sells the k-cups in a pack of four. We had these cups since February 2021 and used them every day for at least 2 cups of coffee and they are as good as new. Great quality, fits perfectly in our coffee maker and they are easy to clean (hand clean them after each use). I am now going to order a pack of four so we have some spares. I highly recommend these. I wish they would come in different colours, but that is not big issue, just a personal preference.",5
357840,42,got some replacement stove knobs that had either melted or broken over the years. matched perfectly. highly recommended.,5
578445,42,Dad said it was just as promised,5
658783,42,"Easy to use, makes ice quick, fresh clean ice.<br />And I love the color!",5
351529,42,"I have a Kenmore Elite Dryer model #7968142210.  I ordered this lint vent that was broke to replace one that ripped my clothes up.  The 2 corners of the lint screen both were cracked and broke.  Kenmore knows about the lint screen wrecking your clothes.  Of all the dryers I have owned I never had this problem.  Just a poor design and if you call a tech to come fix it, that would cost $75.00 to check it.  Saw complaints about this problem online after researching this problem.  I wrote this review to help others with this problem.  Great price and as always fast shipping due to Prime.",5
598295,42,"First off, this is NOT a major washing machine.<br /><br />It's for doing a dozen socks, or a shirt, or a couple pair of undies.<br />With that in mind. . .  this is GREAT.<br /><br />For me, I found it works best ON THE FLOOR, next to the Shower.<br />Just fill 1/2 to 2/3 full with water and items.<br />Leave in &#34;ON&#34; all the time.  Turn the timer on for up to 15 minutes.<br /><br />Lid locks on, so when 15 min up, pick up the bucket thing, and drain into the shower thru the lid.<br />Lid has drain areas on 2 sides.<br />Since it's already ON THE FLOOR, it is NO BIG DEAL to pick up, and drain upside down into the shower.<br />Wring out clothes (optional)<br /><br />Fill back up with clean water and run again for 5 min or so to rinse.<br />Dump in shower.<br /><br />Let sit upside down in shower for 10 min and MOST of the water will be gone.<br />Wring out by hand.<br />Hang up to dry.<br /><br />I used WAY too much soap the first time, so just a drop if liquid.  You can always add more.<br /><br />I am WAY LOVING this thing.<br /><br />Not good for Jeans, but anything smaller will work to get you thru the week.",5
252954,42,Wasn't certain if this was an exact fit for my cleaner but was an exact replacement for the one I broke.,5
280690,42,"When my Whirlpool LG7681XSW3 dryer stopped heating, I did what most people do - I asked the interwebs.  It turns out there are a number of components that can cause this problem when they fail and three are included in this bundle. In my case, the problem turned out to be a faulty gas coil.<br /><br />Considering the igniter and flame sensor were the same age, it made sense to to swap them out while I had the dryer torn down.  All items fit correctly and are working with no problem.  For under $30 and less than an hour of my time my dryer has three fewer likely points of failure in the foreseeable future.<br /><br />I'd recommend this bundle to anyone experiencing no-heat issues with their compatible dryer.",5
540526,42,Easily installed in my KitchenAid refrigerator and works great!!,5
552481,42,The lids tend to tear off after several months of daily use. This is my second time buying them. They are inexpensive and work great so I feel it is fair quality and I am satisfied enough to buy them again.,5
416332,42,Have for a couple days . Really impressed the quickness and quantity for masking ice . . The lower the  Humidity and Temp of the room improves quality of the ice. More  heat and higher  humidity the more watery the cubes are. But the cubes are sizable enough for  adult drinks . It is sufficient for me . I like the Maker,4
633817,42,It does it's job for my 6 cup perk and makes a strong brew. I would not use for a 12 cup perk.  It is perfect for the 6 cup version and the hole on top can be resolved with putting something on top or just putting something on bottom to catch coffee the misses the container.  It does not bother me as some reviews i read someone suggested putting a marble on top to load coffee....great idea. i have not tried that as i have no marble....just the ones i lost....LOL !!,4
195431,42,Was not hard to install. The price was very good.,5
395751,42,"Great for apartments, I have a family of six. We just used it for the first time as a large load. It worked great! The wash cycle is perfect for separated garments.<br /><br />Recommendation for this product:<br />Pros:<br />1) cleans well.<br />2)Use smaller loads. And will clean two pairs of adult jeans on wash side, and spin dry one pair at a time on the spin dry side.<br />3) it is small to a point and light to carry or lift when empty.<br />4) Great for apartment use, and no bigger than six people per washer! If you have more than six people per week that you have to wash for I would recommend getting two of these.<br />5) works great if placed in the bathroom shower tub; make sure that you use proper electrical safety guidelines. Also maybe you should use a showerhead that is extended, or the inlet tube.<br />6) for a family of six; I spent 3 1/2 hours washing and spin drying six people‘s clothes. About 15 to 20 minutes on wash, and 5 to 10 minutes depending on items placed in spin dryer for each load.<br /><br />Cons:<br />1) The cord of this item is very short you will need an extension cord. Remember to use proper safety electrical guidelines if you place it anywhere near a tub or water source.<br />2) if the spin dryer is alone while working, it will shake the entire product. And could damage the machine if not properly secured.<br />3) The drain hose is very short, if you do not have your product elevated on a stand and secured above the drain area, the pump will only get 95% of the water out and leave some in the hose which can cause mold or mildew to fester if left undrained.<br />4) this may or may not be a con however, the inlet hose that it comes with does not secure very well to the Fossett or showerhead connection, so be aware of this.<br />5) The noise level is fine, however it would be nice if the machine came with a buzzer or a bell to tell you when it is finished. So you have to be listening for the machine to stop, or be watching it or set a timer for yourself. Or you will forget about it.<br /><br />All in all, this product is extremely worth the money that I spent. I will recommend this product to everyone I know. After all, you’re already paying for water, so why not use it.",5
429457,42,"No instructions, but if you've ever replaced one, it's the same. Great quality, water tests same pH and ppm as previous filters.",5
492127,42,It was a snap to swap out for the old one.,5
659977,42,"Don't ignore those 1 star negative review, I bought it because of the price and so many positive reviews, I installed it and I left it there, I see water everywhere when i woke up next morning. it leaks and water everywhere, I went to Home Depot to buy the original Samsung filter, the leak stop! But I lost half day work for that. Use it on your own risk....good luck!",1
101134,42,I received the part in a timely fashion and it was installed and works great.  Satisfied with transaction.,4
178022,42,"Bought the k-cup, and needed to buy the replacement rings. Works perfectly.  If they look dirty,  wash all parts, air dry them separately and reassemble",5
